"domain","notebook_heading","variable_label","indicator_code","category_id","category_title","chart_type","analytical_question","availability","portability","source_or_adapter","notes"
"Family support","부모님 생활비는 누가지불하는가? (배우자)","Source of parental living-cost support reported by spouse","","family_support","Family Support and Care","stacked_bar","Do reported support patterns differ by respondent role?","national_data_required","country_specific","National household or social survey","Must use comparable respondent categories."
"Pensions","국민연금 가입자는 계속 감소하고 있는가?","Contributors to the main pension scheme","","pensions","Pensions and Income Security","trend","Is contributory coverage expanding or contracting?","national_data_required","country_specific","National pension administrator or ILO Social Security Inquiry","Scheme definitions differ."
"Pensions","연금종류별 수급자","Pension beneficiaries by scheme type","","pensions","Pensions and Income Security","stacked_bar","Which schemes account for beneficiary growth?","national_data_required","country_specific","National pension administrator","Avoid adding overlapping beneficiary counts."
"Pensions","국민연금 수급자는 얼마나 빠르게 증가하고 있는가?","Main pension beneficiaries","","pensions","Pensions and Income Security","trend","How quickly is beneficiary coverage growing?","national_data_required","country_specific","National pension administrator","Use persons and coverage rates separately."
"Pensions","국민연금 및 기초/장애연금 수급률 수급자는 얼마나 빠르게 증가하고 있는가?","Pension beneficiary coverage rate by scheme","","pensions","Pensions and Income Security","trend","Is pension coverage keeping pace with the eligible population?","adapter_needed","limited_international","ILO Social Security Inquiry or national data","Denominators must match legal eligibility."
"Pensions","국민연금 수급금액 얼마나 빠르게 증가하고 있는가?","Average or total pension benefits","","pensions","Pensions and Income Security","trend","Are pension benefits rising in real terms?","national_data_required","country_specific","National pension administrator","Deflate nominal amounts and distinguish totals from averages."
"Pensions","한국의 국민연금 기여율은 얼마나 낮을까?","Mandatory pension contribution rate","","pensions","Pensions and Income Security","latest_bar","How does the statutory contribution rate compare internationally?","adapter_needed","limited_international","OECD Pensions at a Glance or ISSA","Contribution bases and employer-employee splits differ."
"Pensions","기초ㆍ장애인연금 수급자는 얼마나 빠르게 증가하고 있는가?","Non-contributory old-age and disability beneficiaries","","pensions","Pensions and Income Security","trend","How quickly is non-contributory coverage growing?","national_data_required","country_specific","National social-protection administrator","Separate old-age and disability programs."
"Pensions","기초ㆍ장애인연금 수급금액 얼마나 빠르게 증가하고 있는가?","Non-contributory old-age and disability benefit expenditure","","pensions","Pensions and Income Security","trend","How quickly is non-contributory spending growing in real terms?","national_data_required","country_specific","National social-protection administrator","Deflate nominal expenditure."
"Social expenditure","GDP 대비 총사회복지지출 규모","Total social expenditure as a share of GDP","","social_expenditure","Social Protection and Expenditure","trend","How large is social spending relative to the economy?","adapter_needed","mostly_OECD","OECD SOCX; ILO World Social Protection Database","OECD coverage is limited for many GDI countries."
"Social expenditure","사회복지총지출액 추세","Total social expenditure in real currency or PPP","","social_expenditure","Social Protection and Expenditure","trend","How has real social expenditure changed?","national_data_required","country_specific","National budget and social-protection accounts","Nominal totals are not comparable over time."
"Social expenditure","2020년 사회복지 항목별 지출액","Social expenditure by policy function","","social_expenditure","Social Protection and Expenditure","stacked_bar","Which functions dominate social expenditure?","adapter_needed","mostly_OECD","OECD SOCX or national functional accounts","Use a common functional classification."
"Social expenditure","2018년 사회복지 중 공공지출액 및 세부 지출내역","Public social expenditure by detailed function","","social_expenditure","Social Protection and Expenditure","stacked_bar","How is public social expenditure allocated?","adapter_needed","mostly_OECD","OECD SOCX or national functional accounts","A dated snapshot should not be presented as current."
"Social expenditure","사회복지지출 중 법정 민간지출과 개별 항목별 지출액","Mandatory private social expenditure and components","","social_expenditure","Social Protection and Expenditure","stacked_bar","How much provision occurs through mandated private channels?","adapter_needed","mostly_OECD","OECD SOCX","Definitions are institutionally specific."
"Social expenditure","사회복지지출 항목별 추세","Social expenditure trends by policy function","","social_expenditure","Social Protection and Expenditure","trend","Which policy functions drive spending growth?","adapter_needed","mostly_OECD","OECD SOCX or national accounts","Avoid overcrowded charts; use small multiples."
"Social expenditure","OECD 주요국의 사회복지 지출(GDP 대비)","Public social expenditure as a share of GDP","","social_expenditure","Social Protection and Expenditure","latest_bar","How does public social spending compare with peers?","adapter_needed","mostly_OECD","OECD SOCX","Non-OECD comparability is limited."
"Social expenditure","GDP 대비 공공과 법정민간부문 사회적 지출","Public versus mandatory private social expenditure","","social_expenditure","Social Protection and Expenditure","stacked_bar","How is social spending divided between public and mandatory private channels?","adapter_needed","mostly_OECD","OECD SOCX","Components must use the same year and accounting basis."
"Social expenditure","OECD 주요국의 사회복지 지출(정부 일반지출 대비)","Social expenditure as a share of general government expenditure","","social_expenditure","Social Protection and Expenditure","latest_bar","What share of the public budget is devoted to social purposes?","adapter_needed","mostly_OECD","OECD SOCX and government finance statistics","Ratio combines two separately revised aggregates."
"Social expenditure","미래 예측결과","Projected social expenditure","","social_expenditure","Social Protection and Expenditure","trend","How might spending change under explicit demographic and policy assumptions?","derived_analysis","country_specific","Scenario model","Forecasts require assumptions, uncertainty bands, and a clear baseline."
"Unemployment insurance","한국의 고용보험 특히 실업급여는 얼마나 빠르게 증가하고 있을까?","Unemployment-insurance beneficiaries","","unemployment_insurance","Unemployment Insurance","trend","How quickly is benefit receipt changing?","national_data_required","country_specific","National unemployment-insurance administrator","Separate beneficiaries, claims, and spells."
"Unemployment insurance","과연 고용보험 지출액은 얼마나 증가하고 있을까?","Unemployment-insurance expenditure","","unemployment_insurance","Unemployment Insurance","trend","How quickly is real expenditure growing?","national_data_required","country_specific","National unemployment-insurance administrator","Deflate nominal expenditure."
"Unemployment insurance","코로나가 끝나갔는데도 실업급여 지출액은 정상으로 돌아왔을까?","Post-pandemic unemployment-benefit normalization","","unemployment_insurance","Unemployment Insurance","trend","Did benefit spending return to its pre-pandemic path?","derived_analysis","country_specific","Derived from national program expenditure","Define the counterfactual baseline rather than calling a level normal."
"Health expenditure","GDP 대비 의료비는 급증하고 있는가?","Current health expenditure as a share of GDP","SH.XPD.CHEX.GD.ZS","health","Health Expenditure and Capacity","trend","Is health spending rising relative to GDP?","adapter_ready_not_in_run","international_comparable","World Bank WHO Global Health Expenditure Database","A higher share can reflect a smaller denominator."
"Health services","국민들의 의료급여 실적","Medical-assistance beneficiaries and expenditure","","health","Health Expenditure and Capacity","trend","How is means-tested medical assistance changing?","national_data_required","country_specific","National health or social-assistance administrator","Distinguish recipients, claims, and expenditure."
"Health workforce","인구 천명당 의사수 통계가져오기","Physicians per 1,000 people","SH.MED.PHYS.ZS","health","Health Expenditure and Capacity","latest_bar","How does physician availability compare with peers?","adapter_ready_not_in_run","international_comparable","World Bank WHO health-workforce data","Observation years may be sparse and professional definitions vary."
"Health workforce","지역별 절대적인 의료기관 종사 의사수는 어느 곳이 많은가(2022)??","Physicians by subnational region","","health","Health Expenditure and Capacity","map","Where are physicians concentrated within the country?","national_data_required","country_specific","National health-workforce statistics and boundaries","Use rates as well as counts."
"Health workforce","한국의 의료기관 종사 의사수는 감소하고 있는가??","Physicians employed in health institutions","","health","Health Expenditure and Capacity","trend","Is the institutional physician workforce changing?","national_data_required","country_specific","National health-workforce statistics","Do not confuse headcount with full-time equivalents."
"Health capacity","인구 인구 천명당 의료기관병상수 통계가져오기","Hospital beds per 1,000 people","SH.MED.BEDS.ZS","health","Health Expenditure and Capacity","latest_bar","How does bed capacity compare with peers?","adapter_ready_not_in_run","international_comparable","World Bank WHO health-facility data","Definitions and latest years vary."
"Health capacity","지역의 인구 천명당 의료기관병상수는 감소하고 있는가(2022)??","Hospital beds per 1,000 people by region","","health","Health Expenditure and Capacity","map","Where is bed capacity highest or lowest?","national_data_required","country_specific","National health-facility statistics and boundaries","Use a common reference year."
"Health capacity","지역의 의료기관병상수는 감소하고 있는가??","Hospital beds by region over time","","health","Health Expenditure and Capacity","trend","Which regions are gaining or losing bed capacity?","national_data_required","country_specific","National health-facility statistics","Counts should be paired with population rates."
"Health facilities","한국의 병원과 약국수는 계속 증가하고 있을까?","Hospitals and pharmacies","","health","Health Expenditure and Capacity","trend","Are health facilities expanding?","national_data_required","country_specific","National facility registry","Facility counts do not measure capacity or quality."
"Health facilities","한국의 시도별 의료기관 추세","Health facilities by subnational region","","health","Health Expenditure and Capacity","small_multiples","How unevenly are facilities changing across regions?","national_data_required","country_specific","National facility registry and boundaries","Use stable regional definitions."
"Health facilities","의료기관 유형별 추세","Health facilities by type","","health","Health Expenditure and Capacity","stacked_bar","Which facility types account for growth?","national_data_required","country_specific","National facility registry","Classification changes must be documented."
"Smoking","19세 이상 흡연율은 증가하고 있는가?","Adult smoking prevalence","SH.PRV.SMOK","smoking_cancer","Smoking and Cancer","trend","Is adult smoking prevalence declining?","adapter_ready_not_in_run","international_comparable","World Bank WHO tobacco data","Modeled estimates and survey definitions vary."
"Smoking","소득이 낮은 사람들이 더 흡연률이 높은가?","Smoking prevalence by income group","","smoking_cancer","Smoking and Cancer","grouped_bar","How steep is the socioeconomic smoking gradient?","national_data_required","country_specific","National health survey microdata","Age-standardize before comparing income groups."
"Smoking","모든 연령대에서 흡연율은 감소하고 있는가?","Smoking prevalence by age group","","smoking_cancer","Smoking and Cancer","small_multiples","Are declines shared across age groups?","national_data_required","country_specific","National health survey microdata","Keep age bands stable."
"Cancer","흡연율이 감소할수록 폐암도 감소하는가?","Smoking prevalence and lung-cancer outcome association","","smoking_cancer","Smoking and Cancer","lagged_scatter","Do earlier smoking rates predict later lung-cancer outcomes?","derived_analysis","limited_international","Derived from WHO tobacco and IARC or national registry data","Use long lags and avoid contemporaneous causal inference."
"Cancer","암 유형별 등록환자 진료인원","Registered cancer patients by cancer type","","smoking_cancer","Smoking and Cancer","stacked_bar","Which cancer types account for the largest patient burden?","national_data_required","country_specific","National cancer registry or claims data","Patients, incidence, prevalence, and visits are different measures."
"Cancer","지역별 폐암 등록환자 진료인원","Registered lung-cancer patients by region","","smoking_cancer","Smoking and Cancer","map","Where is the registered lung-cancer burden concentrated?","national_data_required","country_specific","National cancer registry or claims data","Age-standardize and distinguish residence from provider location."
"Old age","노령분야의 지출현황","Old-age social expenditure","","old_age","Old-age Protection","trend","How much social spending is directed to old age?","adapter_needed","mostly_OECD","OECD SOCX or ILO social-protection data","Coverage and accounting definitions differ."
"Childcare","어린이집 보육아동의 현황","Children enrolled in pre-primary education","SE.PRE.ENRR","childcare","Childcare and Early Education","trend","How broad is early-childhood enrollment?","adapter_ready_not_in_run","international_comparable","World Bank UNESCO Institute for Statistics","Enrollment is not identical to childcare participation."
"Childcare","국공립, 민간, 가정 어린이집 보육 아동 추세","Childcare enrollment by provider type","","childcare","Childcare and Early Education","stacked_bar","How is childcare provision divided across provider types?","national_data_required","country_specific","National childcare administrative data","Provider classifications differ across countries."
"Childcare","어린이집 보육교직원 현황","Childcare workforce","","childcare","Childcare and Early Education","trend","Is the childcare workforce keeping pace with enrollment?","national_data_required","country_specific","National childcare administrative data","Prefer child-to-staff ratios alongside headcounts."
"Demography","Total fertility rate from the international pipeline","Total fertility rate","TFR","demography","Demography and Population Transition","change_bar","How quickly is the demographic transition proceeding?","available_current_run","international_comparable","UN DESA World Population Prospects 2024","Includes estimates and Medium-variant projections."
"Demography","Annual fertility change","Annual change in total fertility rate","TFR_ANNUAL_CHANGE","demography","Demography and Population Transition","trend","Is the pace of fertility change accelerating or slowing?","available_current_run","derived","GDI calculation from UN DESA WPP","Percent changes near small denominators require caution."
"Macro economy","Real GDP growth","Real GDP growth","NGDP_RPCH","macro","Macroeconomic Performance","trend","How volatile is growth relative to peers?","available_current_run","international_comparable","IMF World Economic Outlook","Separate actuals, estimates, and projections."
"Macro economy","Target and peer median growth","Target-country and peer-median real GDP growth","NGDP_RPCH_TARGET_PEERS","macro","Macroeconomic Performance","trend","How does growth compare with the fixed peer median?","available_current_run","derived","GDI benchmark from IMF WEO","Peer choice must be justified."
"Macro economy","Growth gap","Target minus peer-median real GDP growth","NGDP_RPCH_GAP","macro","Macroeconomic Performance","trend","When does the target outperform or underperform peers?","available_current_run","derived","GDI benchmark from IMF WEO","Not a causal estimate."
"Labor","Unemployment rate","Unemployment rate","UNE_2EAP_SEX_AGE_RT_A","labor","Labor-market Conditions","latest_bar","How does measured labor-market slack compare?","available_current_run","international_comparable","ILOSTAT","Informality and model status affect interpretation."
"Human development","Life expectancy","Life expectancy at birth","SP.DYN.LE00.IN","social-digital","Human Development and Digital Access","latest_bar","How does a core health outcome compare?","available_current_run","international_comparable","World Bank","Modelled where vital registration is weak."
"Digital access","Internet use","Individuals using the Internet","IT.NET.USER.ZS","social-digital","Human Development and Digital Access","change_bar","How broad is digital access?","available_current_run","international_comparable","World Bank","Use does not measure quality or affordability."
"External economy","Export concentration","Merchandise export concentration index","EXPORT_CONCENTRATION","external","External-economy Structure","trend","How concentrated is the export basket?","available_current_run","international_comparable","UNCTADstat","Concentration measures composition rather than export volume."
"Governance","Government effectiveness","Government effectiveness estimate","GOV_WGI_GE.EST","governance","Governance and Executive Organization","latest_bar","How is broad state capability perceived?","available_current_run","international_comparable","Worldwide Governance Indicators","Perception-based composite with uncertainty."
"Executive organization","Leadership experience","Leader total observed experience","leaderexperience_total","governance","Governance and Executive Organization","trend","How much leadership experience is observed?","available_current_run","research_dataset","WhoGov 4.0","Dataset coverage and coding rules apply."
"Executive organization","Cabinet size","Number of cabinet ministers","n_minister","governance","Governance and Executive Organization","trend","How large is the cabinet and how has it changed?","available_current_run","research_dataset","WhoGov 4.0","Count depends on the dataset's cabinet definition."
"Executive organization","Women ministers count","Number of female cabinet ministers","n_female_minister","governance","Governance and Executive Organization","trend","How has the number of women ministers changed?","available_current_run","research_dataset","WhoGov 4.0","Use with total cabinet size."
"Executive organization","Cabinet tenure","Average cabinet tenure","average_minister","governance","Governance and Executive Organization","latest_bar","How much personnel experience is retained?","available_current_run","research_dataset","WhoGov 4.0","Average tenure does not measure competence."
"Executive organization","Women ministers share","Women among cabinet ministers","female_minister_share","governance","Governance and Executive Organization","change_bar","How has women's cabinet representation changed?","available_current_run","derived","GDI calculation from WhoGov counts","Small cabinets can produce large percentage changes."
"Trade","Exports of goods and services (% of GDP)","Exports of goods and services","NE.EXP.GNFS.ZS","external","Trade and External Economy","trend","How has export orientation changed relative to peers?","adapter_ready_not_in_run","international_comparable","World Bank WDI","Gross exports do not measure domestic value added."
"Trade","Imports of goods and services (% of GDP)","Imports of goods and services","NE.IMP.GNFS.ZS","external","Trade and External Economy","trend","How has import intensity changed relative to peers?","adapter_ready_not_in_run","international_comparable","World Bank WDI","Imports include investment inputs as well as consumption."
"Trade","Trade (% of GDP)","Trade in goods and services","NE.TRD.GNFS.ZS","external","Trade and External Economy","trend","How open is the economy relative to peers?","adapter_ready_not_in_run","international_comparable","World Bank WDI","Small economies can have mechanically higher trade shares."
"Trade","Current account balance (% of GDP)","Current account balance","BN.CAB.XOKA.GD.ZS","external","Trade and External Economy","trend","How persistent are external surpluses or deficits?","adapter_ready_not_in_run","international_comparable","World Bank WDI","Commodity shocks and revisions can dominate annual movements."
"Trade","International tourism, number of arrivals","International tourism arrivals","ST.INT.ARVL","external","Trade and External Economy","trend","How has tourism-linked external activity changed?","adapter_ready_not_in_run","international_comparable","World Bank and UN Tourism","Country reporting conventions differ."
"Trade","Medium and high-tech manufacturing value added (% manufacturing value added)","Medium- and high-tech manufacturing value added","NV.MNF.TECH.ZS.UN","external","Trade and External Economy","trend","How technology-intensive is manufacturing production?","adapter_ready_not_in_run","international_comparable","World Bank and UNIDO","Industry classifications and missing years require caution."
"Trade","High-tech exports (% of manufactured exports)","High-technology exports","TX.VAL.TECH.MF.ZS","external","Trade and External Economy","trend","How technology-intensive is the manufactured export basket?","adapter_ready_not_in_run","international_comparable","World Bank WDI","Re-exports can distort interpretation."
"Trade","Imports and Exports Trend","Imports and exports joint trend","","external","Trade and External Economy","multi_trend","Are imports and exports moving together?","derived_analysis","international_comparable","Derived from NE.EXP.GNFS.ZS and NE.IMP.GNFS.ZS","Use matching years and units."
"Trade","Merchandise exports (current US$)","Merchandise exports","TX.VAL.MRCH.CD.WT","external","Trade and External Economy","trend","How has the nominal scale of merchandise exports changed?","adapter_ready_not_in_run","international_comparable","World Bank and WTO","Current dollars combine prices, volumes, and exchange rates."
"Trade","Merchandise export component","Merchandise exports by product component","","external","Trade and External Economy","stacked_bar","Which products dominate merchandise exports?","adapter_needed","limited_international","UN Comtrade or UNCTAD product table","Requires explicit product and partner filters."
"Trade","Fuel imports (% of merchandise imports)","Fuel imports","TM.VAL.FUEL.ZS.UN","external","Trade and External Economy","trend","How exposed is the import basket to fuel?","adapter_ready_not_in_run","international_comparable","World Bank and UN Comtrade","Product classifications and gaps vary."
"Trade","Fuel Export Amount (current USD)","Fuel export value","","external","Trade and External Economy","trend","How has nominal fuel-export dependence changed?","adapter_needed","limited_international","UN Comtrade or UNCTAD product table","Requires an explicit fuel product definition."
"Trade","Export Quality Index (IMF)","Export Quality Index","","external","Trade and External Economy","trend","Is estimated export quality improving?","adapter_needed","research_dataset","IMF export diversification and quality dataset","Verify the vintage and current official download route."
"Infrastructure","Telecommunication Infrastructure Index","Telecommunication Infrastructure Index","","infrastructure","Infrastructure and Connectivity","trend","How has digital infrastructure capacity changed?","adapter_needed","international_comparable","UN E-Government Survey","The biennial composite and its components require a versioned file adapter."
"Infrastructure","Access to electricity (% of population)","Access to electricity","EG.ELC.ACCS.ZS","infrastructure","Infrastructure and Connectivity","trend","How broad is electricity access relative to peers?","adapter_ready_not_in_run","international_comparable","World Bank WDI","Access does not measure reliability or affordability."
"Infrastructure","Electric power transmission and distribution losses (% of output)","Transmission and distribution losses","EG.ELC.LOSS.ZS","infrastructure","Infrastructure and Connectivity","trend","How large are electricity-system losses?","adapter_ready_not_in_run","international_comparable","World Bank WDI","Technical and commercial losses are not consistently separated."
"Infrastructure","Electric power consumption (kWh per capita)","Electric power consumption","EG.USE.ELEC.KH.PC","infrastructure","Infrastructure and Connectivity","trend","How much electricity is consumed per person?","adapter_ready_not_in_run","international_comparable","World Bank WDI","The series may lag and masks distributional inequality."
"Infrastructure","Electricity production from oil, gas and coal sources (% of total)","Fossil-fuel electricity production","EG.ELC.FOSL.ZS","infrastructure","Infrastructure and Connectivity","trend","How dependent is electricity generation on fossil fuels?","adapter_ready_not_in_run","international_comparable","World Bank WDI","Generation shares do not measure installed capacity."
"Infrastructure","Electricity production by sources (% of total)","Hydroelectricity production","EG.ELC.HYRO.ZS","infrastructure","Infrastructure and Connectivity","trend","How important is hydropower in the electricity mix?","adapter_ready_not_in_run","international_comparable","World Bank WDI","Hydrological variation affects annual shares."
"Infrastructure","Electricity production by sources (% of total)","Renewable electricity excluding hydro","EG.ELC.RNEW.ZS","infrastructure","Infrastructure and Connectivity","trend","How important are non-hydro renewables?","adapter_ready_not_in_run","international_comparable","World Bank WDI","This series excludes hydropower."
"Infrastructure","Energy Net Import (% of energy)","Energy imports, net","EG.IMP.CONS.ZS","infrastructure","Infrastructure and Connectivity","trend","Is the energy system a net importer or exporter?","adapter_ready_not_in_run","international_comparable","World Bank WDI","Negative values denote net exports."
"Infrastructure","Air transport, passengers carried","Air transport passengers carried","IS.AIR.PSGR","infrastructure","Infrastructure and Connectivity","trend","How has aviation connectivity changed?","adapter_ready_not_in_run","international_comparable","World Bank and ICAO","Passengers are assigned to nationally registered carriers."
"Infrastructure","Mobile cellular subscriptions (per 100 people)","Mobile cellular subscriptions","IT.CEL.SETS.P2","infrastructure","Infrastructure and Connectivity","trend","How dense is mobile connectivity?","adapter_ready_not_in_run","international_comparable","World Bank and ITU","Subscriptions are not unique users."
"Infrastructure","Secure Internet Servers","Secure Internet servers","IT.NET.SECR.P6","infrastructure","Infrastructure and Connectivity","trend","How dense is secure hosting infrastructure?","adapter_ready_not_in_run","international_comparable","World Bank and Netcraft","Server location and certificate practices matter."
"Infrastructure","Manufacturing, value added (% of GDP)","Manufacturing value added","NV.IND.MANF.ZS","infrastructure","Infrastructure and Connectivity","trend","How large is manufacturing relative to the economy?","adapter_ready_not_in_run","international_comparable","World Bank WDI","Rebasing can create structural breaks."
"Infrastructure","Logistics Performance Index","Logistics Performance Index","LP.LPI.OVRL.XQ","infrastructure","Infrastructure and Connectivity","latest_bar","How is logistics performance assessed relative to peers?","adapter_ready_not_in_run","international_comparable","World Bank LPI","Perception-based and available only in survey waves."
"Core country profile","Demographic scale","Population total","SP.POP.TOTL","demography","Demography and Population Transition","trend","How large is the population base that public institutions must serve?","adapter_ready_not_in_run","international_comparable","World Bank WDI","Population estimates are revised after censuses and demographic updates."
"Core country profile","Demographic pressure","Population growth","SP.POP.GROW","demography","Demography and Population Transition","trend","How quickly is the population base expanding?","adapter_ready_not_in_run","international_comparable","World Bank WDI","This is a growth rate rather than a population level."
"Core country profile","Urban transition","Urban population","SP.URB.TOTL.IN.ZS","demography","Demography and Population Transition","trend","How quickly is service demand shifting toward urban areas?","adapter_ready_not_in_run","international_comparable","World Bank WDI","National definitions of urban areas differ."
"Core country profile","Youth dependency","Population ages 0 to 14","SP.POP.0014.TO.ZS","demography","Demography and Population Transition","trend","How large is the child population relative to the total?","adapter_ready_not_in_run","international_comparable","World Bank WDI","Age shares are model-based demographic estimates."
"Core country profile","Living-standard level","GDP per capita at purchasing power parity","NY.GDP.PCAP.PP.KD","macro","Macroeconomic Performance","trend","Has real income per person risen relative to peers?","adapter_ready_not_in_run","international_comparable","World Bank WDI","PPP benchmark revisions can change historical levels."
"Core country profile","Price stability","Inflation consumer prices","FP.CPI.TOTL.ZG","macro","Macroeconomic Performance","trend","How persistent and volatile is consumer-price inflation?","adapter_ready_not_in_run","international_comparable","World Bank WDI","National baskets and rebasing schedules differ."
"Core country profile","External investment","Foreign direct investment net inflows","BX.KLT.DINV.WD.GD.ZS","external","Trade and External-Economy Structure","trend","How large and volatile are FDI inflows relative to the economy?","adapter_ready_not_in_run","international_comparable","World Bank WDI","Exceptional intracompany transactions can dominate annual flows."
"Core country profile","Revenue mobilization","General government revenue","GGR_NGDP","fiscal","Fiscal Capacity and Constraints","trend","How much revenue does general government mobilize relative to GDP?","adapter_ready_not_in_run","international_comparable","IMF World Economic Outlook","Separate historical observations estimates and projections."
"Core country profile","Debt burden","General government gross debt","GGXWDG_NGDP","fiscal","Fiscal Capacity and Constraints","trend","How has the general-government debt burden changed?","adapter_ready_not_in_run","international_comparable","IMF World Economic Outlook","Definitions and public-sector coverage vary; projections are not outcomes."
"Core country profile","Production structure","Agriculture value added","NV.AGR.TOTL.ZS","structure","Economic Structure and Transformation","trend","How large is agriculture in national production?","adapter_ready_not_in_run","international_comparable","World Bank WDI","Rebasing and classifications can create breaks."
"Core country profile","Production structure","Industry value added","NV.IND.TOTL.ZS","structure","Economic Structure and Transformation","trend","How large is industry in national production?","adapter_ready_not_in_run","international_comparable","World Bank WDI","Industry includes construction and classifications can change."
"Core country profile","Production structure","Services value added","NV.SRV.TOTL.ZS","structure","Economic Structure and Transformation","trend","How large is services in national production?","adapter_ready_not_in_run","international_comparable","World Bank WDI","Service-sector classifications and residuals differ."
"Core country profile","Distribution","Gini index","SI.POV.GINI","poverty","Poverty and Distribution","latest_bar","How unequal is the welfare distribution relative to peers?","adapter_ready_not_in_run","international_comparable","World Bank Poverty and Inequality Platform","Income and consumption concepts and survey years differ."
"Core country profile","School-to-work transition","Youth unemployment","SL.UEM.1524.ZS","labor","Labor-Market Conditions","trend","How severe is measured labor-market exclusion among active youth?","adapter_ready_not_in_run","international_comparable","World Bank and ILOSTAT","The denominator is the youth labor force not all young people."
"Core country profile","Gender and labor supply","Female labor force participation","SL.TLF.CACT.FE.ZS","labor","Labor-Market Conditions","trend","How fully are women represented in the labor force?","adapter_ready_not_in_run","international_comparable","World Bank and ILOSTAT","Participation does not measure job quality or earnings."
"Core country profile","Job quality proxy","Vulnerable employment","SL.EMP.VULN.ZS","labor","Labor-Market Conditions","trend","How prevalent are own-account and contributing-family work arrangements?","adapter_ready_not_in_run","international_comparable","World Bank and ILOSTAT","Employment status is a proxy rather than a legal job-quality measure."
"Core country profile","Foundational skills","Adult literacy rate","SE.ADT.LITR.ZS","education","Education and Human Capital","latest_bar","How broad is basic adult literacy relative to peers?","adapter_ready_not_in_run","international_comparable","World Bank and UNESCO UIS","Assessment methods and observation years differ."
"Core country profile","Secondary access","Secondary school enrollment gross","SE.SEC.ENRR","education","Education and Human Capital","trend","How broad is access to secondary education?","adapter_ready_not_in_run","international_comparable","World Bank and UNESCO UIS","Gross enrollment can exceed 100 and does not measure completion."
"Core country profile","Education fiscal effort","Government education expenditure","SE.XPD.TOTL.GD.ZS","education","Education and Human Capital","trend","How much public fiscal effort is allocated to education?","adapter_ready_not_in_run","international_comparable","World Bank and UNESCO UIS","Coverage across government levels and off-budget spending differs."
"Core country profile","Public health financing","Domestic general government health expenditure","SH.XPD.GHED.GD.ZS","health","Health Outcomes Capacity and Financing","trend","How much domestically financed public effort supports health?","adapter_ready_not_in_run","international_comparable","World Bank and WHO","A GDP share does not measure efficiency incidence or quality."
